,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,4,4,-4,-4,4,4,-4,-4
1,6,6,-2,-6,2,2,-2,-6
2,9,9,2,-9,0,-2,0,-9
3,12,12,5,-12,1,-5,-1,-12
4,15,15,8,-15,0,-8,0,-15
5,18,18,11,-18,1,-11,-1,-18
6,21,21,14,-21,0,-14,0,-21
7,24,24,17,-24,1,-17,-1,-24
8,27,27,20,-27,0,-20,0,-27
9,30,30,23,-30,1,-23,-1,-30
10,33,33,26,-33,0,-26,0,-33
11,36,36,29,-36,1,-29,-1,-36
12,39,39,32,-39,0,-32,0,-39
13,42,42,35,-42,1,-35,-1,-42
14,45,45,38,-45,0,-38,0,-45
15,48,48,41,-48,1,-41,-1,-48
16,51,51,44,-51,0,-44,0,-51
17,54,54,47,-54,1,-47,-1,-54
18,57,57,50,-57,0,-50,0,-57
19,60,60,53,-60,1,-53,-1,-60
20,63,63,56,-63,0,-56,0,-63
21,66,66,59,-66,1,-59,-1,-66
22,69,69,62,-69,0,-62,0,-69
23,72,72,65,-72,1,-65,-1,-72
24,75,75,68,-75,0,-68,0,-75
25,78,78,71,-78,1,-71,-1,-78
26,81,81,74,-81,0,-74,0,-81
27,84,84,77,-84,1,-77,-1,-84
28,87,87,80,-87,0,-80,0,-87
29,90,90,83,-90,1,-83,-1,-90
30,93,93,86,-93,0,-86,0,-93
31,96,96,89,-96,1,-89,-1,-96
32,99,99,92,-99,0,-92,0,-99
33,102,102,95,-102,1,-95,-1,-102
34,105,105,98,-105,0,-98,0,-105
35,108,108,101,-108,1,-101,-1,-108
36,111,111,104,-111,0,-104,0,-111
37,114,114,107,-114,1,-107,-1,-114
38,117,117,110,-117,0,-110,0,-117
39,120,120,113,-120,1,-113,-1,-120
40,123,123,116,-123,0,-116,0,-123
41,126,126,119,-126,1,-119,-1,-126
42,129,129,122,-129,0,-122,0,-129
43,132,132,125,-132,1,-125,-1,-132
44,135,135,128,-135,0,-128,0,-135
45,138,138,131,-138,1,-131,-1,-138
46,141,141,134,-141,0,-134,0,-141
47,144,144,137,-144,1,-137,-1,-144
48,147,147,140,-147,0,-140,0,-147
49,150,150,143,-150,1,-143,-1,-150
50,153,153,146,-153,0,-146,0,-153
51,156,156,149,-156,1,-149,-1,-156
52,159,159,152,-159,0,-152,0,-159
53,162,162,155,-162,1,-155,-1,-162
54,165,165,158,-165,0,-158,0,-165
55,168,168,161,-168,1,-161,-1,-168
56,171,171,164,-171,0,-164,0,-171
57,174,174,167,-174,1,-167,-1,-174
58,177,177,170,-177,0,-170,0,-177
59,180,180,173,-180,1,-173,-1,-180
60,183,183,176,-183,0,-176,0,-183
61,186,186,179,-186,1,-179,-1,-186
62,189,189,182,-189,0,-182,0,-189
63,192,192,185,-192,1,-185,-1,-192
64,195,195,188,-195,0,-188,0,-195
65,198,198,191,-198,1,-191,-1,-198
66,201,201,194,-201,0,-194,0,-201
67,204,204,197,-204,1,-197,-1,-204
68,207,207,200,-207,0,-200,0,-207
69,210,210,203,-210,1,-203,-1,-210
70,213,213,206,-213,0,-206,0,-213
71,216,216,209,-216,1,-209,-1,-216
72,219,219,212,-219,0,-212,0,-219
73,222,222,215,-222,1,-215,-1,-222
74,225,225,218,-225,0,-218,0,-225
75,228,228,221,-228,1,-221,-1,-228
76,231,231,224,-231,0,-224,0,-231
77,234,234,227,-234,1,-227,-1,-234
78,237,237,230,-237,0,-230,0,-237
79,240,240,233,-240,1,-233,-1,-240
80,243,243,236,-243,0,-236,0,-243
81,246,246,239,-246,1,-239,-1,-246
82,249,249,242,-249,0,-242,0,-249
83,252,252,245,-252,1,-245,-1,-252
84,255,255,248,-255,0,-248,0,-255
85,258,258,251,-258,1,-251,-1,-258
86,261,261,254,-261,0,-254,0,-261
87,264,264,257,-264,1,-257,-1,-264
88,267,267,260,-267,0,-260,0,-267
89,270,270,263,-270,1,-263,-1,-270
90,273,273,266,-273,0,-266,0,-273
91,276,276,269,-276,1,-269,-1,-276
92,279,279,272,-279,0,-272,0,-279
93,282,282,275,-282,1,-275,-1,-282
94,285,285,278,-285,0,-278,0,-285
95,288,288,281,-288,1,-281,-1,-288
96,291,291,284,-291,0,-284,0,-291
97,294,294,287,-294,1,-287,-1,-294
98,297,297,290,-297,0,-290,0,-297
99,300,300,293,-300,1,-293,-1,-300
100,303,303,296,-303,0,-296,0,-303
101,306,306,299,-306,1,-299,-1,-306
102,309,309,302,-309,0,-302,0,-309
103,312,312,305,-312,1,-305,-1,-312
104,315,315,308,-315,0,-308,0,-315
105,318,318,311,-318,1,-311,-1,-318
106,321,321,314,-321,0,-314,0,-321
107,324,324,317,-324,1,-317,-1,-324
108,327,327,320,-327,0,-320,0,-327
109,330,330,323,-330,1,-323,-1,-330
110,333,333,326,-333,0,-326,0,-333
111,336,336,329,-336,1,-329,-1,-336
112,339,339,332,-339,0,-332,0,-339
113,342,342,335,-342,1,-335,-1,-342
114,345,345,338,-345,0,-338,0,-345
115,348,348,341,-348,1,-341,-1,-348
116,351,351,344,-351,0,-344,0,-351
117,354,354,347,-354,1,-347,-1,-354
118,357,357,350,-357,0,-350,0,-357
119,360,360,353,-360,1,-353,-1,-360
120,363,363,356,-363,0,-356,0,-363
121,366,366,359,-366,1,-359,-1,-366
122,369,369,362,-369,0,-362,0,-369
123,372,372,365,-372,1,-365,-1,-372
124,375,375,368,-375,0,-368,0,-375
125,378,378,371,-378,1,-371,-1,-378
126,381,381,374,-381,0,-374,0,-381
127,384,384,377,-384,1,-377,-1,-384
128,387,387,380,-387,0,-380,0,-387
129,390,390,383,-390,1,-383,-1,-390
130,393,393,386,-393,0,-386,0,-393
131,396,396,389,-396,1,-389,-1,-396
132,399,399,392,-399,0,-392,0,-399
133,402,402,395,-402,1,-395,-1,-402
134,405,405,398,-405,0,-398,0,-405
135,408,408,401,-408,1,-401,-1,-408
136,411,411,404,-411,0,-404,0,-411
137,414,414,407,-414,1,-407,-1,-414
138,417,417,410,-417,0,-410,0,-417
139,420,420,413,-420,1,-413,-1,-420
140,423,423,416,-423,0,-416,0,-423
141,426,426,419,-426,1,-419,-1,-426
142,429,429,422,-429,0,-422,0,-429
143,432,432,425,-432,1,-425,-1,-432
144,435,435,428,-435,0,-428,0,-435
145,438,438,431,-438,1,-431,-1,-438
146,441,441,434,-441,0,-434,0,-441
147,444,444,437,-444,1,-437,-1,-444
148,447,447,440,-447,0,-440,0,-447
149,450,450,443,-450,1,-443,-1,-450
150,453,453,446,-453,0,-446,0,-453
151,456,456,449,-456,1,-449,-1,-456
152,459,459,452,-459,0,-452,0,-459
153,462,462,455,-462,1,-455,-1,-462
154,465,465,458,-465,0,-458,0,-465
155,468,468,461,-468,1,-461,-1,-468
156,471,471,464,-471,0,-464,0,-471
157,474,474,467,-474,1,-467,-1,-474
158,477,477,470,-477,0,-470,0,-477
159,480,480,473,-480,1,-473,-1,-480
160,483,483,476,-483,0,-476,0,-483
161,486,486,479,-486,1,-479,-1,-486
162,489,489,482,-489,0,-482,0,-489
163,492,492,485,-492,1,-485,-1,-492
164,495,495,488,-495,0,-488,0,-495
165,498,498,491,-498,1,-491,-1,-498
166,501,501,494,-501,0,-494,0,-501
167,504,504,497,-504,1,-497,-1,-504
168,507,507,500,-507,0,-500,0,-507
169,510,510,503,-510,1,-503,-1,-510
170,513,513,506,-513,0,-506,0,-513
171,516,516,509,-516,1,-509,-1,-516
172,519,519,512,-519,0,-512,0,-519
173,522,522,515,-522,1,-515,-1,-522
174,525,525,518,-525,0,-518,0,-525
175,528,528,521,-528,1,-521,-1,-528
176,531,531,524,-531,0,-524,0,-531
177,534,534,527,-534,1,-527,-1,-534
178,537,537,530,-537,0,-530,0,-537
179,540,540,533,-540,1,-533,-1,-540
180,543,543,536,-543,0,-536,0,-543
181,546,546,539,-546,1,-539,-1,-546
