,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,0.133,0.129,0.129,0.106,0.129,0.135,0.12,0.119
0,0.133,0.129,0.128,0.106,0.129,0.135,0.121,0.119
0,0.132,0.129,0.128,0.106,0.129,0.136,0.121,0.119
0,0.132,0.129,0.128,0.106,0.129,0.136,0.121,0.119
0,0.132,0.129,0.128,0.106,0.128,0.137,0.121,0.119
0,0.132,0.129,0.128,0.106,0.128,0.137,0.121,0.119
0,0.132,0.129,0.128,0.106,0.128,0.137,0.121,0.119
0,0.132,0.129,0.128,0.106,0.128,0.137,0.121,0.119
0,0.132,0.129,0.128,0.106,0.128,0.138,0.121,0.118
0,0.132,0.129,0.128,0.106,0.128,0.138,0.121,0.118
0,0.132,0.129,0.128,0.106,0.128,0.138,0.121,0.118
0,0.132,0.129,0.128,0.106,0.128,0.138,0.121,0.118
0,0.132,0.129,0.128,0.106,0.128,0.138,0.121,0.118
0,0.132,0.13,0.128,0.105,0.128,0.138,0.121,0.118
0,0.131,0.13,0.128,0.105,0.129,0.138,0.121,0.118
0,0.131,0.13,0.128,0.105,0.129,0.138,0.121,0.118
0,0.131,0.13,0.128,0.105,0.128,0.138,0.122,0.118
0,0.131,0.131,0.128,0.105,0.127,0.138,0.122,0.118
0,0.131,0.131,0.128,0.105,0.127,0.138,0.122,0.118
0,0.131,0.13,0.128,0.105,0.127,0.138,0.123,0.118
0,0.131,0.13,0.128,0.106,0.127,0.137,0.123,0.118
0,0.131,0.13,0.128,0.106,0.127,0.137,0.123,0.118
0,0.131,0.13,0.128,0.106,0.127,0.137,0.123,0.118
0,0.131,0.13,0.128,0.106,0.127,0.137,0.122,0.119
0,0.131,0.13,0.128,0.106,0.127,0.137,0.122,0.119
0,0.131,0.13,0.128,0.106,0.127,0.137,0.122,0.119
0,0.131,0.13,0.127,0.106,0.127,0.137,0.122,0.12
0,0.131,0.13,0.127,0.106,0.127,0.137,0.122,0.12
0,0.131,0.13,0.127,0.106,0.127,0.137,0.122,0.12
0,0.131,0.13,0.127,0.106,0.127,0.136,0.122,0.121
0,0.131,0.13,0.127,0.106,0.127,0.136,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.136,0.123,0.121
0,0.13,0.13,0.127,0.106,0.127,0.136,0.123,0.121
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.136,0.122,0.122
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.106,0.127,0.137,0.122,0.121
0,0.13,0.13,0.127,0.105,0.128,0.137,0.122,0.121
0,0.13,0.13,0.127,0.105,0.128,0.137,0.122,0.121
0,0.129,0.131,0.127,0.105,0.128,0.137,0.122,0.121
0,0.129,0.131,0.127,0.105,0.128,0.137,0.122,0.121
0,0.129,0.131,0.127,0.105,0.129,0.136,0.122,0.121
0,0.129,0.131,0.127,0.105,0.129,0.136,0.122,0.121
0,0.129,0.131,0.127,0.105,0.129,0.136,0.122,0.121
0,0.129,0.131,0.127,0.106,0.129,0.135,0.122,0.121
0,0.129,0.131,0.127,0.106,0.129,0.135,0.122,0.121
0,0.129,0.131,0.127,0.106,0.13,0.134,0.122,0.121
0,0.129,0.131,0.127,0.106,0.13,0.134,0.122,0.121
0,0.129,0.131,0.127,0.106,0.13,0.134,0.122,0.121
0,0.129,0.131,0.127,0.106,0.13,0.134,0.122,0.121
0,0.129,0.13,0.127,0.106,0.13,0.134,0.123,0.121
0,0.129,0.129,0.128,0.106,0.13,0.134,0.123,0.121
0,0.129,0.129,0.127,0.106,0.13,0.134,0.124,0.121
0,0.129,0.129,0.127,0.106,0.13,0.134,0.124,0.121
0,0.128,0.129,0.128,0.106,0.13,0.134,0.124,0.121
0,0.128,0.129,0.128,0.106,0.13,0.134,0.124,0.121
0,0.128,0.129,0.127,0.106,0.13,0.134,0.124,0.122
0,0.128,0.129,0.127,0.106,0.13,0.134,0.124,0.122
0,0.128,0.129,0.127,0.106,0.13,0.133,0.125,0.122
0,0.128,0.129,0.128,0.106,0.13,0.133,0.124,0.122
0,0.128,0.129,0.128,0.106,0.13,0.133,0.124,0.122
0,0.128,0.129,0.128,0.106,0.13,0.133,0.124,0.122
0,0.128,0.129,0.128,0.106,0.13,0.133,0.124,0.122
0,0.128,0.129,0.128,0.106,0.13,0.133,0.124,0.122
0,0.127,0.13,0.128,0.106,0.13,0.133,0.124,0.122
0,0.127,0.129,0.128,0.106,0.13,0.134,0.124,0.122
0,0.127,0.129,0.128,0.105,0.13,0.134,0.125,0.122
0,0.127,0.129,0.128,0.105,0.13,0.134,0.125,0.122
0,0.127,0.128,0.128,0.105,0.13,0.134,0.125,0.123
0,0.127,0.128,0.128,0.105,0.13,0.134,0.125,0.123
0,0.127,0.128,0.128,0.105,0.13,0.134,0.125,0.123
0,0.127,0.128,0.128,0.105,0.13,0.134,0.125,0.123
0,0.127,0.128,0.129,0.105,0.13,0.134,0.124,0.123
0,0.126,0.128,0.129,0.106,0.13,0.134,0.124,0.123
0,0.126,0.128,0.128,0.106,0.13,0.134,0.125,0.123
0,0.126,0.128,0.128,0.107,0.13,0.133,0.125,0.123
0,0.126,0.128,0.128,0.107,0.13,0.133,0.125,0.123
0,0.126,0.128,0.128,0.107,0.13,0.133,0.125,0.123
0,0.127,0.127,0.128,0.107,0.13,0.133,0.125,0.123
0,0.127,0.127,0.128,0.107,0.13,0.133,0.125,0.123
0,0.128,0.126,0.128,0.107,0.13,0.133,0.125,0.123
0,0.128,0.126,0.128,0.107,0.13,0.133,0.125,0.123
0,0.128,0.126,0.128,0.107,0.13,0.133,0.125,0.123
0,0.128,0.126,0.128,0.107,0.13,0.133,0.125,0.123
0,0.127,0.126,0.128,0.107,0.131,0.133,0.125,0.123
0,0.127,0.126,0.128,0.107,0.131,0.133,0.125,0.123
0,0.127,0.126,0.128,0.106,0.131,0.133,0.125,0.124
0,0.127,0.126,0.127,0.107,0.131,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.107,0.132,0.133,0.125,0.124
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.133,0.125,0.123
0,0.127,0.125,0.127,0.108,0.132,0.134,0.124,0.123
0,0.127,0.125,0.127,0.108,0.132,0.134,0.124,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.124,0.127,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.127,0.123,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
0,0.128,0.122,0.128,0.108,0.132,0.134,0.125,0.123
