,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,0.121,0.138,0.111,0.123,0.135,0.128,0.131,0.113
0,0.121,0.138,0.111,0.123,0.135,0.128,0.131,0.113
0,0.121,0.138,0.111,0.123,0.135,0.128,0.131,0.113
0,0.121,0.138,0.111,0.124,0.135,0.128,0.131,0.112
0,0.121,0.138,0.111,0.124,0.135,0.128,0.131,0.112
0,0.121,0.138,0.111,0.124,0.135,0.128,0.131,0.112
0,0.12,0.138,0.111,0.124,0.136,0.128,0.131,0.112
0,0.12,0.138,0.111,0.124,0.136,0.128,0.131,0.112
0,0.12,0.139,0.111,0.124,0.136,0.128,0.13,0.112
0,0.119,0.139,0.111,0.124,0.137,0.128,0.13,0.112
0,0.119,0.139,0.111,0.125,0.137,0.128,0.129,0.112
0,0.119,0.139,0.111,0.125,0.137,0.128,0.129,0.112
0,0.119,0.139,0.111,0.125,0.137,0.128,0.129,0.112
0,0.119,0.139,0.111,0.125,0.137,0.128,0.129,0.112
0,0.119,0.139,0.111,0.125,0.137,0.128,0.129,0.112
0,0.119,0.139,0.11,0.125,0.138,0.128,0.129,0.112
0,0.119,0.139,0.11,0.125,0.138,0.127,0.13,0.112
0,0.119,0.139,0.11,0.125,0.138,0.127,0.13,0.112
0,0.119,0.139,0.11,0.125,0.138,0.127,0.13,0.112
0,0.119,0.139,0.11,0.125,0.138,0.127,0.13,0.112
0,0.119,0.139,0.111,0.124,0.138,0.127,0.13,0.112
0,0.119,0.139,0.111,0.124,0.138,0.127,0.13,0.112
0,0.119,0.139,0.111,0.124,0.138,0.127,0.13,0.112
0,0.119,0.139,0.111,0.124,0.138,0.127,0.13,0.112
0,0.119,0.139,0.111,0.125,0.137,0.127,0.13,0.112
0,0.119,0.139,0.111,0.125,0.137,0.127,0.13,0.112
0,0.119,0.139,0.111,0.125,0.137,0.127,0.13,0.112
0,0.119,0.138,0.111,0.126,0.137,0.127,0.13,0.112
0,0.118,0.138,0.111,0.126,0.137,0.127,0.13,0.113
0,0.118,0.138,0.111,0.125,0.137,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.111,0.124,0.138,0.128,0.13,0.113
0,0.118,0.138,0.112,0.124,0.138,0.128,0.129,0.113
0,0.118,0.139,0.112,0.123,0.138,0.128,0.129,0.113
0,0.118,0.139,0.112,0.123,0.137,0.129,0.129,0.113
0,0.118,0.139,0.112,0.123,0.137,0.129,0.129,0.113
0,0.119,0.139,0.112,0.123,0.137,0.129,0.128,0.113
0,0.119,0.138,0.113,0.123,0.137,0.129,0.128,0.113
0,0.119,0.138,0.113,0.123,0.137,0.129,0.128,0.113
