,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,0.138,0.139,0.142,0.116,0.127,0.093,0.13,0.115
0,0.138,0.139,0.142,0.116,0.127,0.093,0.13,0.115
0,0.138,0.139,0.142,0.116,0.127,0.093,0.13,0.115
0,0.138,0.139,0.143,0.116,0.127,0.093,0.13,0.114
0,0.138,0.14,0.143,0.116,0.126,0.093,0.13,0.114
0,0.138,0.14,0.143,0.116,0.126,0.093,0.13,0.114
0,0.138,0.14,0.143,0.116,0.126,0.093,0.13,0.114
0,0.138,0.14,0.142,0.116,0.127,0.093,0.13,0.114
0,0.138,0.14,0.142,0.116,0.127,0.093,0.13,0.114
0,0.138,0.14,0.142,0.116,0.128,0.093,0.129,0.114
0,0.138,0.14,0.142,0.116,0.128,0.093,0.129,0.114
0,0.137,0.14,0.142,0.116,0.128,0.094,0.129,0.114
0,0.137,0.14,0.142,0.116,0.128,0.094,0.129,0.114
0,0.137,0.14,0.142,0.116,0.128,0.094,0.129,0.114
0,0.137,0.14,0.142,0.116,0.128,0.094,0.128,0.115
0,0.137,0.14,0.142,0.116,0.128,0.094,0.128,0.115
0,0.137,0.14,0.142,0.116,0.128,0.094,0.128,0.115
0,0.137,0.14,0.142,0.116,0.128,0.094,0.128,0.115
0,0.137,0.14,0.142,0.116,0.128,0.094,0.127,0.116
0,0.137,0.14,0.142,0.116,0.128,0.094,0.127,0.116
0,0.137,0.141,0.142,0.116,0.128,0.094,0.126,0.116
0,0.137,0.141,0.142,0.116,0.128,0.094,0.126,0.116
0,0.137,0.141,0.142,0.116,0.128,0.094,0.126,0.116
0,0.137,0.141,0.142,0.116,0.128,0.093,0.126,0.117
0,0.137,0.141,0.142,0.116,0.128,0.093,0.125,0.118
0,0.137,0.141,0.142,0.116,0.128,0.093,0.125,0.118
0,0.137,0.14,0.143,0.116,0.128,0.093,0.125,0.118
0,0.137,0.14,0.143,0.116,0.128,0.093,0.125,0.118
0,0.137,0.14,0.143,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.143,0.117,0.128,0.093,0.125,0.118
0,0.136,0.14,0.143,0.117,0.128,0.093,0.125,0.118
0,0.136,0.14,0.143,0.117,0.128,0.093,0.125,0.118
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.143,0.117,0.128,0.092,0.125,0.119
0,0.136,0.14,0.144,0.117,0.128,0.092,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.14,0.144,0.116,0.128,0.093,0.125,0.118
0,0.136,0.139,0.144,0.116,0.128,0.093,0.126,0.118
0,0.136,0.139,0.144,0.116,0.128,0.093,0.126,0.118
0,0.136,0.139,0.144,0.116,0.128,0.093,0.126,0.118
0,0.136,0.139,0.144,0.116,0.128,0.093,0.126,0.118
0,0.136,0.139,0.144,0.116,0.129,0.093,0.125,0.118
0,0.136,0.139,0.144,0.116,0.129,0.093,0.125,0.118
0,0.136,0.139,0.145,0.116,0.129,0.093,0.125,0.117
0,0.136,0.139,0.145,0.116,0.129,0.092,0.126,0.117
0,0.136,0.139,0.145,0.116,0.129,0.092,0.126,0.117
0,0.136,0.139,0.144,0.116,0.13,0.092,0.126,0.117
0,0.137,0.139,0.143,0.116,0.13,0.092,0.126,0.117
0,0.136,0.139,0.143,0.116,0.13,0.093,0.126,0.117
0,0.136,0.139,0.143,0.116,0.13,0.093,0.126,0.117
0,0.136,0.139,0.143,0.116,0.13,0.093,0.126,0.117
0,0.136,0.139,0.143,0.116,0.13,0.093,0.126,0.117
0,0.136,0.139,0.143,0.116,0.13,0.093,0.126,0.117
0,0.136,0.139,0.143,0.117,0.13,0.092,0.126,0.117
0,0.136,0.139,0.143,0.117,0.13,0.092,0.126,0.117
0,0.136,0.138,0.143,0.117,0.13,0.092,0.126,0.118
0,0.136,0.138,0.143,0.117,0.13,0.092,0.126,0.118
0,0.136,0.138,0.143,0.117,0.13,0.092,0.126,0.118
0,0.135,0.138,0.143,0.117,0.13,0.092,0.127,0.118
0,0.135,0.138,0.143,0.117,0.13,0.092,0.127,0.118
0,0.135,0.138,0.143,0.117,0.13,0.093,0.126,0.118
0,0.135,0.138,0.143,0.117,0.13,0.093,0.126,0.118
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.134,0.138,0.143,0.117,0.13,0.093,0.126,0.119
0,0.133,0.138,0.143,0.117,0.13,0.093,0.127,0.119
0,0.133,0.138,0.143,0.116,0.13,0.093,0.127,0.12
0,0.133,0.138,0.143,0.116,0.13,0.092,0.127,0.121
0,0.133,0.139,0.143,0.115,0.13,0.092,0.127,0.121
0,0.133,0.139,0.143,0.115,0.13,0.092,0.127,0.121
0,0.133,0.139,0.143,0.115,0.129,0.092,0.127,0.122
0,0.133,0.139,0.143,0.115,0.129,0.092,0.127,0.122
0,0.133,0.139,0.143,0.115,0.128,0.093,0.127,0.122
0,0.133,0.139,0.143,0.114,0.129,0.093,0.127,0.122
0,0.133,0.139,0.143,0.114,0.129,0.093,0.127,0.122
0,0.133,0.14,0.143,0.114,0.129,0.092,0.127,0.122
0,0.133,0.14,0.143,0.114,0.129,0.092,0.127,0.122
