,CCC,CCD,CDC,CDD,DCC,DCD,DDC,DDD
0,0.102,0.123,0.145,0.134,0.118,0.127,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.128,0.137,0.114
0,0.102,0.123,0.145,0.133,0.118,0.127,0.137,0.115
0,0.103,0.122,0.145,0.133,0.118,0.127,0.137,0.115
0,0.103,0.122,0.145,0.133,0.118,0.127,0.137,0.115
0,0.103,0.122,0.145,0.133,0.119,0.127,0.137,0.114
0,0.103,0.122,0.145,0.133,0.119,0.127,0.137,0.114
0,0.103,0.122,0.146,0.133,0.119,0.127,0.137,0.113
0,0.103,0.122,0.146,0.133,0.119,0.127,0.137,0.113
0,0.103,0.122,0.146,0.133,0.119,0.127,0.137,0.113
0,0.103,0.122,0.146,0.133,0.119,0.127,0.137,0.113
0,0.103,0.122,0.146,0.133,0.119,0.127,0.137,0.113
0,0.103,0.122,0.145,0.133,0.119,0.128,0.137,0.113
0,0.103,0.122,0.145,0.132,0.119,0.129,0.137,0.113
0,0.103,0.122,0.145,0.132,0.119,0.129,0.137,0.113
0,0.103,0.123,0.145,0.132,0.118,0.129,0.137,0.113
0,0.102,0.123,0.145,0.132,0.119,0.129,0.137,0.113
0,0.102,0.123,0.146,0.132,0.119,0.129,0.137,0.112
0,0.102,0.123,0.146,0.132,0.119,0.129,0.137,0.112
0,0.102,0.123,0.146,0.132,0.119,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.118,0.129,0.137,0.112
0,0.102,0.123,0.147,0.132,0.117,0.129,0.137,0.113
0,0.102,0.123,0.147,0.132,0.117,0.129,0.137,0.113
0,0.102,0.123,0.147,0.132,0.117,0.129,0.137,0.113
0,0.102,0.123,0.147,0.132,0.117,0.129,0.137,0.113
0,0.102,0.123,0.148,0.131,0.117,0.129,0.137,0.113
0,0.102,0.123,0.148,0.131,0.117,0.129,0.137,0.113
0,0.102,0.123,0.148,0.131,0.117,0.129,0.137,0.113
0,0.102,0.123,0.147,0.131,0.117,0.129,0.138,0.113
0,0.102,0.123,0.147,0.131,0.117,0.129,0.138,0.113
0,0.102,0.124,0.147,0.131,0.117,0.128,0.138,0.113
0,0.102,0.124,0.147,0.132,0.117,0.127,0.138,0.113
0,0.102,0.124,0.147,0.132,0.117,0.127,0.138,0.113
0,0.102,0.124,0.147,0.132,0.118,0.127,0.137,0.113
0,0.102,0.124,0.146,0.132,0.118,0.128,0.137,0.113
